model, nodes, edges, abstract_nodes, abstract_edges, flip_edges, bisimulation_time, rectify_time_concrete_naive, rectify_time_concrete, rectify_time_abstract, number_of_rules, immutable_rules, core_concrete, abstract_concrete, abstract_core_final
original_aag_re.pickle, 268, 324, 205, 240, 0, 0.027783085000010033, 0.0359688600001391, 0.03435275499941781, 0.05103273700024147, 16, 2, 1, 1, 1
original_aag_re.pickle, 268, 324, 205, 240, 0, 0.027783085000010033, 0.061093355000593874, 0.05871976299931703, 0.0532583149997663, 16, 3, 1, 1, 1
original_aag_re.pickle, 268, 324, 205, 240, 0, 0.027783085000010033, 0.05381627699989622, 0.05243165800038696, 0.0483071229991765, 16, 4, 1, 1, 1
original_aag_re.pickle, 268, 324, 205, 240, 0, 0.027783085000010033, 0.05957485799990536, 0.05695793999984744, 0.05908307099980448, 16, 5, 1, 1, 1
re_aag.pickle, 316, 469, 218, 297, 0, 0.030725671000254806, 0.03614275700056169, 0.03477857899997616, 0.06249313999978767, 18, 1, 1, 1, 1
re_aag.pickle, 316, 469, 218, 297, 0, 0.030725671000254806, 0.06970814600026642, 0.06697447700025805, 0.0593638069994995, 18, 2, 1, 1, 1
re_aag.pickle, 316, 469, 218, 297, 0, 0.030725671000254806, 0.08300872200015874, 0.0809893240002566, 0.058624166999834415, 18, 3, 1, 1, 1
re_aag.pickle, 316, 469, 218, 297, 0, 0.030725671000254806, 0.08221500099989498, 0.07997316600085469, 0.06370210299974133, 18, 4, 1, 1, 1
re_aag.pickle, 316, 469, 218, 297, 0, 0.030725671000254806, 0.07913255800031038, 0.07629808799993043, 0.05634056500002771, 18, 5, 1, 1, 1
synthetic_large.pickle, 284932, 947258, 110, 142, 0, 26.11557967800036, -1, 33.29209484800049, 0.018815158000506926, 15, 1, 1, 1, 1
synthetic_large.pickle, 284932, 947258, 110, 142, 0, 26.11557967800036, 304.00535603200024, 64.87657755700002, 0.019028804000299715, 15, 2, 1, 1, 1
synthetic_large.pickle, 284932, 947258, 110, 142, 0, 26.11557967800036, 455.7345486410004, 44.355821369000296, 0.0076419659999373835, 15, 3, 1, 1, 1
synthetic_large.pickle, 284932, 947258, 110, 142, 0, 26.11557967800036, 290.0516396940002, 55.90792664400033, 0.009325932000137982, 15, 4, 1, 1, 1
synthetic_large.pickle, 284932, 947258, 110, 142, 0, 26.11557967800036, 333.24167882500024, 47.23528291000002, 0.012603348000084225, 15, 5, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.11914700900069874, 0.04717718400024751, 0.038504621000356565, 0.0062524270006178995, 15, 1, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.11914700900069874, 0.059320922000551946, 0.052328857999782485, 0.005685050000465708, 15, 2, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.11914700900069874, 0.08209288499983813, 0.09121938600037538, 0.00682279499960714, 15, 3, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.11914700900069874, 0.10687806800069666, 0.10610728000028757, 0.0084039829998801, 15, 4, 1, 1, 1
synthetic_medium.pickle, 802, 1763, 110, 142, 0, 0.11914700900069874, 0.10484629100028542, 0.10108559200034506, 0.009493218999523378, 15, 5, 1, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.0027631359998849803, 0.0026071010006489814, 0.002583051000328851, 0.0027846769999086973, 13, 1, 1, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.0027631359998849803, 0.002226722000159498, 0.0022559349999937695, 0.004770126999574131, 13, 2, 1, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.0027631359998849803, 0.004159074999734003, 0.004143056000430079, 0.004840100000365055, 13, 3, 1, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.0027631359998849803, 0.004940226000144321, 0.005006390999369614, 0.003210908999790263, 13, 5, 2, 1, 1
synthetic_small.pickle, 60, 75, 53, 59, 0, 0.0027631359998849803, 0.003414543999497255, 0.0034336219996475847, 0.0028798389994335594, 13, 6, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.014502576000268164, 0.01229694300036499, 0.010809399000208941, 0.01742470899989712, 20, 1, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.014502576000268164, 0.02154026599964709, 0.020076740000149584, 0.017942342000424105, 20, 2, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.014502576000268164, 0.025257835999582312, 0.024813150999762, 0.018250461999741674, 20, 3, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.014502576000268164, 0.029404085000351188, 0.028199450000101933, 0.019938544999604346, 20, 4, 1, 1, 1
toy_input.pickle, 305, 381, 188, 254, 0, 0.014502576000268164, 0.032525182999961544, 0.03285162199972547, 0.053009671999461716, 20, 5, 1, 2, 2
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.010419471000204794, 0.059573520999947505, 0.054415259000052174, 0.0318777799993768, 25, 3, 3, 3, 3
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.010419471000204794, 0.08114973099964118, 0.07049481900048704, 0.04649614600020868, 25, 8, 5, 5, 5
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.010419471000204794, 0.046744280999519106, 0.03921053500016569, 0.02088994800033106, 25, 10, 2, 2, 2
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.010419471000204794, 0.05827398799920047, 0.05140212900005281, 0.04109103100017819, 25, 14, 4, 4, 4
2_vehicle_assembly_input.pickle, 1019, 2267, 95, 167, 0, 0.04154069000014715, 0.5000236760006374, 0.43665348200011067, 0.4882709220000834, 47, 19, 19, 19, 19
